run_idx,w,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
118,0.7,60,0.0,-128.1,0.5121162746831248,True,2410.057537796151,0.13960825002346283
115,0.7,57,284.5176085829735,460.97000000000037,0.03629048827406881,False,2413.931239764439,0.4957225289609697
116,0.7,58,0.0,-128.1,0.5139874647024886,True,1515.6751051161023,0.45753135952429896
121,0.8,43,0.0,277.8869999999996,0.12483012133302014,False,2816.951581836494,0.33765010870037937
125,0.8,47,85.64053475856781,-86.29600000000005,0.4965755057780816,False,2814.9910780751807,0.4087535704239311
117,0.7,59,209.69243347644806,460.97000000000037,0.053830898053235224,False,1975.9555604418458,0.46945228421280527
120,0.8,42,330.4114490747452,460.97000000000037,0.03710145484061332,False,2840.8602269631847,0.4450790728800572
126,0.8,48,0.0,-63.406299999999966,0.4619219520088893,False,2547.285099985932,0.4264470572527657
123,0.8,45,200.51264762878418,460.97000000000037,0.04147110747986096,False,3048.368982422657,0.4809607058031182
127,0.8,49,0.0,-83.80820000000003,0.5135904925764,False,1920.4257811717496,0.4614821966005187
128,0.8,50,121.88349664211273,87.26399999999991,0.3147615385832205,False,2823.335552993731,0.4382608096059571
119,0.7,61,0.0,-128.1,0.5177674686837654,True,1984.2040705471638,0.4424910593109253
122,0.8,44,100.33977031707764,2.151200000000346,0.4001414981403979,False,2599.619753780528,0.3880816153927237
124,0.8,46,74.16054606437683,301.9439999999997,0.08420608592631826,False,2613.7371288277827,0.4478326373311699
133,0.8,55,0.0,307.10700000000014,0.16592564670681798,False,2614.5443541871855,0.4410002904697361
132,0.8,54,0.0,276.3302999999999,0.1704419684726649,False,2833.7643681604977,0.3912498308106875
135,0.8,57,147.47782796621323,294.62899999999956,0.11357402419289567,False,2734.3391082883218,0.4432057542487597
134,0.8,56,6.8369656801223755,140.16950000000003,0.2629114401027303,False,2924.5736092309326,0.42200235376118594
129,0.8,51,129.75060939788818,156.15000000000026,0.25251769938955565,False,2957.5117504435043,0.4531155160158618
136,0.8,58,0.0,331.7739999999996,0.19546281308063135,False,2165.502776688796,0.4317707439773103
130,0.8,52,0.0,194.08900000000008,0.3171225183787637,False,3007.6649068576994,0.4168587752705456
131,0.8,53,0.0,220.02780000000038,0.181435746021457,False,2898.3864062969496,0.3682160835999709
137,0.8,59,264.06033895909786,460.97000000000037,0.053830898053235224,False,3122.4798458566697,0.3959166111790726
