run_idx,w,lambda_loss,seed,algo,env,mean_reward,collapsed,final_value_loss,final_explained_variance
234,0.85,1,56,PPO,MPE_CoopNav,-91.54301417366656,True,23.945786636739626,0.5555088233808473
224,0.85,1,46,PPO,MPE_CoopNav,-109.43219769257485,True,25.29959736554174,0.5969954279851212
238,0.85,1,60,PPO,MPE_CoopNav,-58.62897884071781,True,34.98297178833799,0.40515491975979373
227,0.85,1,49,PPO,MPE_CoopNav,-73.73494672657587,True,28.85800228079211,0.5072244382660154
237,0.85,1,59,PPO,MPE_CoopNav,-96.55772197845982,True,32.85513358479425,0.4695597836669062
226,0.85,1,48,PPO,MPE_CoopNav,-105.0420616299823,True,34.73229269346415,0.5313411939140319
229,0.85,1,51,PPO,MPE_CoopNav,-89.61776375872147,True,29.704832029892145,0.37602765957387246
230,0.85,1,52,PPO,MPE_CoopNav,-74.84027059547398,True,28.680622792732397,0.5626354936114423
231,0.85,1,53,PPO,MPE_CoopNav,-84.79544988199791,True,27.98079138128767,0.495811928812505
228,0.85,1,50,PPO,MPE_CoopNav,-90.702395539655,True,24.982938776492464,0.4203382224588632
225,0.85,1,47,PPO,MPE_CoopNav,-93.96962156561173,True,34.24094995924209,0.41445557462115906
235,0.85,1,57,PPO,MPE_CoopNav,-82.17596184995811,True,28.564557912163487,0.4822127842338381
241,0.9,1,43,PPO,MPE_CoopNav,-106.8911910228773,True,25.0767038936499,0.5455991584287716
243,0.9,1,45,PPO,MPE_CoopNav,-89.55828978415721,True,20.834687369603962,0.5611409462282432
256,0.9,1,58,PPO,MPE_CoopNav,-121.78494721460841,True,33.815597851374086,0.5686665655575245
246,0.9,1,48,PPO,MPE_CoopNav,-104.05099174415197,True,29.62414427432452,0.5701810604440724
242,0.9,1,44,PPO,MPE_CoopNav,-90.50039474057445,True,24.677240622043605,0.5205945856821522
240,0.9,1,42,PPO,MPE_CoopNav,-98.69219597393835,True,33.755951675761224,0.5929213665072804
248,0.9,1,50,PPO,MPE_CoopNav,-110.33298155487603,True,21.250386422269628,0.5676550867796784
259,0.9,1,61,PPO,MPE_CoopNav,-79.83884959205656,True,28.428307649787047,0.30415944491778996
244,0.9,1,46,PPO,MPE_CoopNav,-86.82169199517274,True,22.74211223746689,0.6102652826493131
249,0.9,1,51,PPO,MPE_CoopNav,-84.92582451170156,True,30.769377180830926,0.3674360629118664
255,0.9,1,57,PPO,MPE_CoopNav,-122.66809526072173,True,24.664601661698,0.6183579597817722
258,0.9,1,60,PPO,MPE_CoopNav,-78.32722958786307,True,36.621024219449446,0.25009383013169073
252,0.9,1,54,PPO,MPE_CoopNav,-88.3030504798266,True,30.787925445438194,0.5595912489844498
245,0.9,1,47,PPO,MPE_CoopNav,-90.88926894301927,True,30.007776450713983,0.374516124323144
257,0.9,1,59,PPO,MPE_CoopNav,-103.11716382328223,True,32.237630310437126,0.5083695251051046
