w,lambda,seed,mean_S,profit,lost_sales,bullwhip,mean_order,mean_inventory,collapsed,final_value_loss,final_explained_variance,train_steps
0.3,1.0,57,0.0,-128.1,0.519507414983065,0.0,0.0,196.10860215053765,1,1191.391138419127,0.3143005676758595,300000
0.3,1.0,58,0.0,-128.1,0.5139874647024886,0.0,0.0,196.63548387096773,1,1213.657829193376,0.30353303584787583,300000
0.3,1.0,59,0.0,-128.1,0.5277165188516677,0.0,0.0,196.46559139784944,1,1197.9306910327357,0.30488469649074423,300000
0.3,1.0,60,0.0,-128.1,0.5121162746831248,0.0,0.0,196.51075268817203,1,1269.9782304247562,0.2591865908386361,300000
0.3,1.0,61,0.0,-128.1,0.5177674686837654,0.0,0.0,196.4747311827957,1,1203.7543221541619,0.3021081986590328,300000
0.4,1.0,42,0.0,-128.1,0.5158669877768538,0.0,0.0,196.29677419354837,1,1179.878865042575,0.4013237777428749,300000
0.4,1.0,43,0.0,-128.1,0.5165728289268111,0.0,0.0,196.1005376344086,1,1275.563525514521,0.3861589331148017,300000
0.4,1.0,44,0.0,-128.1,0.5173429937269243,0.0,0.0,196.27903225806452,1,1092.4835232596113,0.4276327839773944,300000
0.4,1.0,45,0.0,-128.1,0.5229070936751181,0.0,0.0,196.19892473118279,1,1167.8386009651033,0.39640409926063996,300000
0.4,1.0,46,0.0,-128.1,0.508184749849319,0.0,0.0,196.58602150537635,1,1230.0047657089015,0.39082376264099383,300000
0.4,1.0,47,0.0,-128.1,0.5165791280650451,0.0,0.0,196.31129032258065,1,1121.2084366301185,0.4008030426553172,300000
0.4,1.0,48,0.0,-128.1,0.5208458755746784,0.0,0.0,196.1295698924731,1,1200.9827537514884,0.3718903282513985,300000
0.4,1.0,49,0.0,-128.1,0.5314132341582017,0.0,0.0,196.21075268817205,1,1112.308534781953,0.4121308968617366,300000
0.4,1.0,50,0.0,-128.1,0.5153191370466681,0.0,0.0,196.30752688172043,1,1224.1719764622528,0.36224710673857957,300000
0.4,1.0,51,0.0,-128.1,0.518289184051047,0.0,0.0,196.64139784946235,1,1178.588950032726,0.38618648001271433,300000
0.4,1.0,52,0.0,-128.1,0.5188447054617819,0.0,0.0,196.53870967741938,1,1195.51844629141,0.36648824925606066,300000
0.4,1.0,53,0.0,-128.1,0.5149925463760175,0.0,0.0,196.33440860215052,1,1218.8617234667481,0.3568888231475129,300000
0.4,1.0,54,0.0,-128.1,0.5174862706277183,0.0,0.0,196.18870967741935,1,1148.586940141553,0.40787277669988126,300000
0.4,1.0,55,0.0,-128.1,0.5243769008931682,0.0,0.0,196.202688172043,1,1143.2457947233804,0.41076063409320307,300000
0.4,1.0,56,0.0,-128.1,0.5182402578694825,0.0,0.0,196.23709677419356,1,1177.74775459746,0.37760789794290167,300000
0.4,1.0,57,0.0,-128.1,0.519507414983065,0.0,0.0,196.10860215053765,1,1185.7851039766924,0.3885221696562237,300000
0.4,1.0,58,0.0,-128.1,0.5139874647024886,0.0,0.0,196.63548387096773,1,1208.3562240731,0.3701998883078241,300000
0.4,1.0,59,0.0,-128.1,0.5277165188516677,0.0,0.0,196.46559139784944,1,1196.419144396225,0.40902145920146227,300000
