run_idx,w,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
77,0.6,59,0.0,-128.1,0.5277165188516677,True,1043.4636867928955,0.610481408212966
75,0.6,57,0.0,-128.1,0.519507414983065,True,948.0791134492649,0.6244344897210408
82,0.65,44,0.0,-128.1,0.5173429937269243,True,920.1645069954192,0.6549454047687535
76,0.6,58,0.0,311.6162999999999,0.094890225723751,False,1322.5811375040212,0.49781510359513215
79,0.6,61,0.0,-128.1,0.5177674686837654,True,901.9631145779919,0.617799461492225
81,0.65,43,125.47050416469574,151.54349999999982,0.2648284655689075,False,1695.9760974158005,0.5658916892402327
80,0.65,42,200.26250928640366,460.97000000000037,0.03710145484061332,False,1473.1788574663863,0.6399765154595309
83,0.65,45,0.0,430.4394000000002,0.08812461606899531,False,1637.9834129765043,0.6565424414190564
85,0.65,47,0.0,-128.1,0.5165791280650451,True,1059.106619260524,0.592736188954452
89,0.65,51,186.07526272535324,464.9419999999999,0.03715506805506245,False,1519.6310301214467,0.643858623813158
87,0.65,49,0.0,-35.19769999999994,0.4489680768007124,False,1302.230890401747,0.5777275930283037
84,0.65,46,271.2586186826229,460.97000000000037,0.02594115887956696,False,1433.3038446687628,0.6284062357394774
88,0.65,50,96.9761312007904,477.8403000000003,0.05162255456184994,False,1483.5369076745444,0.6125187271273632
91,0.65,53,251.4568269252777,460.97000000000037,0.04745082447970701,False,1611.5198327997152,0.652324109371024
86,0.65,48,0.0,14.019800000000137,0.3863360287900672,False,1216.467462991981,0.515803577583144
90,0.65,52,0.0,24.789000000000108,0.3756461058578206,False,1519.9633565353781,0.5857662119313264
93,0.65,55,117.64766275882721,99.7726999999999,0.31303041708536167,False,1468.9055699997464,0.5910866820554596
92,0.65,54,267.56660267710686,460.97000000000037,0.044185780254916034,False,1494.4734731961214,0.5827772616862996
96,0.65,58,0.0,237.26260000000002,0.23152933940369785,False,1498.6266733197378,0.5379506767972938
94,0.65,56,0.0,23.689200000000156,0.3748454127175277,False,1469.5535760630496,0.607618134146757
100,0.7,42,266.9261656701565,460.97000000000037,0.03710145484061332,False,1694.2166244284276,0.650488024098419
95,0.65,57,0.0,426.50000000000034,0.1000323959978551,False,1281.1815559927315,0.5820242265515674
97,0.65,59,225.6711795926094,460.97000000000037,0.053830898053235224,False,1443.6444093327639,0.6082018995965685
98,0.65,60,0.0,-128.1,0.5121162746831248,True,940.0703478118016,0.6275186338317814
104,0.7,46,133.65845382213593,278.75149999999996,0.13457587648759464,False,1673.8488808050056,0.6319089477430541
99,0.65,61,179.5840635895729,467.2400000000007,0.039271175312974645,False,1541.5036300556042,0.6116733085543012
103,0.7,45,267.53158681094646,460.97000000000037,0.04147110747986096,False,1736.2031578973194,0.6748553038621471
102,0.7,44,0.0,-128.1,0.5173429937269243,True,935.9302798270841,0.6786382982513312
101,0.7,43,0.0,461.08000000000027,0.05412910163228809,False,1821.0923242547933,0.6203840766002682
105,0.7,47,214.7766686975956,460.97000000000037,0.03585400495866623,False,1619.9736986299379,0.5571807528445407
107,0.7,49,130.268394947052,199.09900000000013,0.22925556101193875,False,1495.5542003239402,0.5941374200289888
108,0.7,50,0.0,365.90529999999995,0.12862949925730277,False,1754.2454124057138,0.5659187923532413
106,0.7,48,268.8317708671093,460.97000000000037,0.04542586911679271,False,1644.9150401687757,0.6446483147150679
109,0.7,51,213.3759669959545,460.97000000000037,0.03715506805506245,False,1762.9501790418867,0.646819880297815
112,0.7,54,263.80288414657116,460.97000000000037,0.044185780254916034,False,1677.2616635708314,0.6296551549924476
114,0.7,56,68.58858466148376,265.07849999999996,0.22831053904519197,False,1458.5602856115277,0.5788281181690024
111,0.7,53,0.0,461.19000000000034,0.07648597628092248,False,1622.879919908022,0.5752861084080557
110,0.7,52,0.0,228.03940000000003,0.2334117687231861,False,1504.6005028186255,0.5762023947091341
113,0.7,55,0.0,-118.17119999999996,0.5152160455992056,False,1161.9311708415712,0.5497499612600343
115,0.7,57,257.0573091506958,460.97000000000037,0.03629048827406881,False,1676.292503398731,0.6884574878129913
116,0.7,58,0.0,392.16000000000037,0.1332435345011908,False,1340.8901507561845,0.6013568315889564
117,0.7,59,259.23652574419975,460.97000000000037,0.053830898053235224,False,1511.3329132650042,0.6645012534916274
118,0.7,60,0.0,-128.1,0.5121162746831248,True,2420.210626239159,0.12139191263004454
121,0.75,43,76.16795599460602,344.07829999999984,0.11610212322353493,False,1904.0326962813328,0.6012935397575988
120,0.75,42,0.0,461.19000000000034,0.06682628959198468,False,1967.3473287674,0.6176858681274962
122,0.75,44,0.0,-128.1,0.5173429937269243,True,985.9365308318517,0.6862273106198428
119,0.7,61,286.7755740880966,460.97000000000037,0.039271175312974645,False,1533.4652947609384,0.6314483291390993
123,0.75,45,189.6297223865986,463.4100000000002,0.04147110747986096,False,1816.6353550995427,0.6543847250224368
124,0.75,46,0.0,333.8850000000001,0.16962263878454906,False,1681.7436241559737,0.5578720670992562
125,0.75,47,233.12520422041416,460.97000000000037,0.03585400495866623,False,1792.3860447837806,0.6011798443191206
126,0.75,48,227.45734453201294,460.97000000000037,0.04542586911679271,False,1807.7072074876564,0.5806599706013785
132,0.75,54,199.94757696986198,460.97000000000037,0.044185780254916034,False,1699.7689276229441,0.6461356309468171
128,0.75,50,222.07793220877647,460.9748000000003,0.036138690124453685,False,1698.5347726502312,0.621157518461776
129,0.75,51,226.6888339072466,460.97000000000037,0.03715506805506245,False,1519.1421961200488,0.7073335930299542
130,0.75,52,0.0,276.5910000000001,0.21220194088025882,False,1844.7870498402099,0.6031841030831399
127,0.75,49,150.73347091674805,326.4070000000002,0.10322187916483441,False,1713.8422273047577,0.5952989052834035
134,0.75,56,0.0,426.50000000000034,0.10135580382947398,False,1633.744741197041,0.616105622827625
131,0.75,53,0.0,392.16000000000037,0.13653207747575663,False,1783.048975360644,0.5459948796361462
133,0.75,55,0.0,304.93500000000006,0.18790810467974428,False,1744.0668876580096,0.5655737802179545
136,0.75,58,0.0,358.1700000000004,0.16249016174349892,False,1329.8024109950654,0.644576494974604
135,0.75,57,250.38538500666618,460.97000000000037,0.03629048827406881,False,1576.6251313319794,0.6911935598978111
137,0.75,59,0.0,314.98569999999995,0.21348514033441815,False,1721.220733732687,0.561440495720477
139,0.75,61,0.0,436.30900000000037,0.10335604715536624,False,1645.9180014714443,0.6113354110157986
138,0.75,60,0.0,461.08000000000027,0.04572053913530971,False,1742.1667796012473,0.6709944675482706
141,0.8,43,131.1601921916008,298.2449999999995,0.1048262383920606,False,1964.506954485969,0.5845241807043362
140,0.8,42,273.81421625614166,460.97000000000037,0.03710145484061332,False,1760.6809246908676,0.6876550057292653
143,0.8,45,273.1150481849909,460.97000000000037,0.04147110747986096,False,1915.5829097024487,0.699998216536552
142,0.8,44,242.22841765731573,460.97000000000037,0.03857981550418275,False,1934.0952977036973,0.6163931871220676
